Model,Recall,Precision,AUPR
CatBoost,0.632 $\pm$ 0.025,0.033 $\pm$ 0.001,0.070 $\pm$ 0.004
ExtraTrees,0.671 $\pm$ 0.027,0.029 $\pm$ 0.001,0.067 $\pm$ 0.003
KNeighbors,0.466 $\pm$ 0.000,0.034 $\pm$ 0.000,0.039 $\pm$ 0.000
LightGBM,0.569 $\pm$ 0.000,0.035 $\pm$ 0.000,0.069 $\pm$ 0.000
LinearModel,0.822 $\pm$ 0.000,0.028 $\pm$ 0.000,0.092 $\pm$ 0.000
RandomForest,0.551 $\pm$ 0.039,0.028 $\pm$ 0.001,0.052 $\pm$ 0.003
XGBoost,0.612 $\pm$ 0.000,0.033 $\pm$ 0.000,0.068 $\pm$ 0.000
WeightedEnsemble_L2,0.535 $\pm$ 0.002,0.039 $\pm$ 0.000,0.083 $\pm$ 0.002
