Model,Recall,Precision,AUPR
CatBoost,0.610 $\pm$ 0.011,0.052 $\pm$ 0.002,0.126 $\pm$ 0.004
ExtraTrees,0.356 $\pm$ 0.009,0.129 $\pm$ 0.003,0.129 $\pm$ 0.004
KNeighbors,0.632 $\pm$ 0.000,0.033 $\pm$ 0.000,0.040 $\pm$ 0.000
LightGBM,0.517 $\pm$ 0.000,0.077 $\pm$ 0.000,0.145 $\pm$ 0.000
LinearModel,0.721 $\pm$ 0.000,0.041 $\pm$ 0.000,0.101 $\pm$ 0.000
RandomForest,0.439 $\pm$ 0.005,0.094 $\pm$ 0.001,0.132 $\pm$ 0.003
XGBoost,0.581 $\pm$ 0.000,0.059 $\pm$ 0.000,0.138 $\pm$ 0.000
WeightedEnsemble_L2,0.526 $\pm$ 0.014,0.082 $\pm$ 0.004,0.136 $\pm$ 0.006
