Model,Recall,Precision,AUPR
CatBoost,0.711 $\pm$ 0.018,0.104 $\pm$ 0.012,0.406 $\pm$ 0.011
ExtraTrees,0.751 $\pm$ 0.016,0.070 $\pm$ 0.005,0.343 $\pm$ 0.010
KNeighbors,0.532 $\pm$ 0.000,0.062 $\pm$ 0.000,0.088 $\pm$ 0.000
LightGBM,0.693 $\pm$ 0.000,0.115 $\pm$ 0.000,0.403 $\pm$ 0.000
LinearModel,0.885 $\pm$ 0.000,0.072 $\pm$ 0.000,0.514 $\pm$ 0.000
RandomForest,0.717 $\pm$ 0.022,0.055 $\pm$ 0.005,0.224 $\pm$ 0.009
XGBoost,0.760 $\pm$ 0.000,0.083 $\pm$ 0.000,0.382 $\pm$ 0.000
WeightedEnsemble_L2,0.672 $\pm$ 0.009,0.131 $\pm$ 0.001,0.379 $\pm$ 0.013
