,num_nan,sim_perc
0,82,18.425500000000007
1,82,18.067000000000007
2,82,56.30899999999999
3,88,33.32071428571428
4,0,86.11107843137255
5,82,7.666499999999999
6,82,11.8255
7,6,49.53489583333328
8,1,85.62108910891091
9,6,84.12520833333333
10,6,83.66239583333335
11,6,84.48343750000001
12,6,84.02062500000004
13,6,85.79958333333339
14,6,85.620625
15,6,85.32583333333342
16,6,87.15781249999998
17,6,86.97875000000003
18,1,85.48475247524752
19,6,90.71510416666672
20,6,89.59875
21,6,88.81020833333325
22,6,87.69385416666671
23,6,87.10562500000003
24,6,87.68479166666661
25,0,83.29343137254902
26,6,89.96906249999999
27,6,89.3898958333333
28,6,88.77197916666658
29,1,82.79188118811885
30,6,86.63916666666665
31,6,86.34385416666663
32,6,86.88114583333335
33,6,88.1566666666666
34,6,88.51499999999999
35,0,85.88990196078431
36,6,91.18927083333337
37,6,89.35729166666664
38,1,81.2430693069306
39,6,84.8078125
40,6,86.3348958333333
41,6,85.23989583333336
42,1,86.61613861386135
43,6,89.08333333333333
44,6,91.36749999999996
45,6,91.35489583333332
46,6,92.35645833333326
47,6,92.44999999999992
48,6,92.69291666666653
49,6,91.43968749999998
50,6,92.31364583333327
51,6,91.68156249999993
52,6,91.91343749999994
53,6,92.55552083333328
54,6,92.7872916666666
55,6,93.02927083333321
56,6,93.02927083333321
57,0,88.14696078431362
58,0,87.94049019607841
59,6,92.87197916666663
60,0,87.93705882352941
61,1,88.83841584158417
62,6,89.51333333333332
63,6,89.37656249999998
64,6,89.7765625
65,6,89.81843749999996
66,6,89.8817708333333
67,6,89.47124999999998
68,6,89.48177083333331
69,6,90.35562499999996
70,6,88.48104166666663
71,6,89.66020833333333
72,6,90.7975
73,6,90.67124999999999
74,6,90.96562499999997
75,6,90.56510416666664
76,6,91.68145833333328
77,6,91.97666666666667
78,6,86.76447916666666
79,6,87.406875
80,6,87.42802083333332
81,6,88.07010416666662
82,6,87.94406249999996
83,6,88.60739583333327
